Entity,Day,total_vaccinations
American Samoa,2/8/21,12259
American Samoa,2/9/21,12680
American Samoa,2/10/21,13318
American Samoa,2/11/21,13513
American Samoa,2/12/21,15032
American Samoa,2/13/21,15382
American Samoa,2/14/21,15382
American Samoa,2/16/21,16109
American Samoa,2/17/21,16269
American Samoa,2/18/21,16269
American Samoa,2/19/21,16269
American Samoa,2/20/21,17740
American Samoa,2/21/21,18778
American Samoa,2/22/21,18816
American Samoa,2/23/21,18816
American Samoa,2/24/21,19739
American Samoa,2/25/21,19739
American Samoa,2/26/21,20336
American Samoa,2/27/21,20338
American Samoa,2/28/21,20338
American Samoa,3/1/21,20338
American Samoa,3/2/21,21079
American Samoa,3/3/21,21079
American Samoa,3/4/21,21625
American Samoa,3/5/21,21625
American Samoa,3/6/21,21625
American Samoa,3/7/21,21625
American Samoa,3/8/21,21625
American Samoa,3/9/21,21625
American Samoa,3/10/21,23696
American Samoa,3/11/21,23696
American Samoa,3/12/21,23696
American Samoa,3/13/21,23696
American Samoa,3/14/21,23696
American Samoa,3/15/21,24300
American Samoa,3/16/21,24300
American Samoa,3/17/21,24300
American Samoa,3/18/21,24300
American Samoa,3/19/21,24300
American Samoa,3/20/21,24300
American Samoa,3/21/21,24300
American Samoa,3/22/21,27015
American Samoa,3/23/21,27263
American Samoa,3/24/21,27837
American Samoa,3/25/21,27864
American Samoa,3/26/21,28503
American Samoa,3/27/21,28527
American Samoa,3/28/21,28527
American Samoa,3/29/21,28527
American Samoa,3/30/21,29079
American Samoa,3/31/21,31167
American Samoa,4/1/21,31167
American Samoa,4/2/21,31761
American Samoa,4/3/21,31761
American Samoa,4/4/21,31775
American Samoa,4/5/21,31775
American Samoa,4/6/21,31775
American Samoa,4/7/21,32856
American Samoa,4/8/21,32904
American Samoa,4/9/21,33545
American Samoa,4/10/21,33545
Arizona,1/12/21,141355
Arizona,1/13/21,154745
Arizona,1/14/21,173665
Arizona,1/15/21,197086
Arizona,1/19/21,266276
Arizona,1/20/21,281887
Arizona,1/21/21,303899
Arizona,1/22/21,329349
Arizona,1/23/21,360958
Arizona,1/24/21,390623
Arizona,1/25/21,413662
Arizona,1/26/21,430892
Arizona,1/27/21,458258
Arizona,1/28/21,487149
Arizona,1/29/21,521097
Arizona,1/30/21,557369
Arizona,1/31/21,594104
Arizona,2/1/21,620608
Arizona,2/2/21,631662
Arizona,2/3/21,656040
Arizona,2/4/21,686116
Arizona,2/5/21,719458
Arizona,2/6/21,766788
Arizona,2/7/21,809230
Arizona,2/8/21,841018
Arizona,2/9/21,863807
Arizona,2/10/21,897757
Arizona,2/11/21,941575
Arizona,2/12/21,990296
Arizona,2/13/21,1041021
Arizona,2/14/21,1089155
Arizona,2/16/21,1154583
Arizona,2/17/21,1164900
Arizona,2/18/21,1202770
Arizona,2/19/21,1376405
Arizona,2/20/21,1425295
Arizona,2/21/21,1469676
Arizona,2/22/21,1506572
Arizona,2/23/21,1525794
Arizona,2/24/21,1555942
Arizona,2/25/21,1607544
Arizona,2/26/21,1671294
Arizona,2/27/21,1728239
Arizona,2/28/21,1792447
Arizona,3/1/21,1849259
Arizona,3/2/21,1889742
Arizona,3/3/21,1930999
Arizona,3/4/21,1979929
Arizona,3/5/21,2038623
Arizona,3/6/21,2043739
Arizona,3/7/21,2162602
Arizona,3/8/21,2215219
Arizona,3/9/21,2245854
Arizona,3/10/21,2293559
Arizona,3/11/21,2350374
Arizona,3/12/21,2418267
Arizona,3/13/21,2484603
Arizona,3/14/21,2557630
Arizona,3/15/21,2605621
Arizona,3/16/21,2655283
Arizona,3/17/21,2697523
Arizona,3/18/21,2755436
Arizona,3/19/21,2760907
Arizona,3/20/21,2825939
Arizona,3/21/21,2893024
Arizona,3/22/21,2942907
Arizona,3/23/21,2970577
Arizona,3/24/21,3010048
Arizona,3/25/21,3106598
Arizona,3/26/21,3169061
Arizona,3/27/21,3239538
Arizona,3/28/21,3308671
Arizona,3/29/21,3363062
Arizona,3/30/21,3399399
Arizona,3/31/21,3451567
Arizona,4/1/21,3512579
Arizona,4/2/21,3581448
Arizona,4/3/21,3653578
Arizona,4/4/21,3720230
Arizona,4/5/21,3772436
Arizona,4/6/21,3809075
Arizona,4/7/21,3855073
Arizona,4/8/21,3901177
Arizona,4/9/21,3975606
Arizona,4/10/21,4054007
Arkansas,1/12/21,40879
Arkansas,1/13/21,94854
Arkansas,1/14/21,108316
Arkansas,1/15/21,118338
Arkansas,1/19/21,142337
Arkansas,1/20/21,173312
Arkansas,1/21/21,173312
Arkansas,1/22/21,201676
Arkansas,1/23/21,201676
Arkansas,1/24/21,214240
Arkansas,1/25/21,221095
Arkansas,1/26/21,236290
Arkansas,1/27/21,252824
Arkansas,1/28/21,252824
Arkansas,1/29/21,269993
Arkansas,1/30/21,288651
Arkansas,1/31/21,303793
Arkansas,2/1/21,311230
Arkansas,2/2/21,314470
Arkansas,2/3/21,322447
Arkansas,2/4/21,338227
Arkansas,2/5/21,351175
Arkansas,2/6/21,374674
Arkansas,2/7/21,393445
Arkansas,2/8/21,401664
Arkansas,2/9/21,404127
Arkansas,2/10/21,418054
Arkansas,2/11/21,430803
Arkansas,2/12/21,447146
Arkansas,2/13/21,457386
Arkansas,2/14/21,472536
Arkansas,2/16/21,483438
Arkansas,2/17/21,486949
Arkansas,2/18/21,490737
Arkansas,2/19/21,517271
Arkansas,2/20/21,520904
Arkansas,2/21/21,528467
